dataset,id,filename,ground_truth,method,raw_prediction,predicted_label,confidence,is_correct,is_hallucinated,latency_s,error
dataset2_ai_lens5,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,gemini,Jingdezhen,Jingdezhen,0.75,False,False,2.5,
dataset2_ai_lens5,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,chatgpt,Bien Hoa,Bien Hoa,0.85,False,False,5.194,
dataset2_ai_lens5,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,grok,Bien Hoa,Bien Hoa,0.8,False,False,1.556,
dataset2_ai_lens5,1,images/01_bat_trang/001_01_bat_trang_01_vase.jpg,Bat Trang,acis,Bien Hoa,Bien Hoa,0.85,False,False,16.332,
dataset2_ai_lens5,11,images/02_bien_hoa/011_02_bien_hoa_01_vase.jpg,Bien Hoa,gemini,Bien Hoa,Bien Hoa,0.8,True,False,2.5,
dataset2_ai_lens5,11,images/02_bien_hoa/011_02_bien_hoa_01_vase.jpg,Bien Hoa,chatgpt,Bien Hoa,Bien Hoa,0.85,True,False,7.756,
dataset2_ai_lens5,11,images/02_bien_hoa/011_02_bien_hoa_01_vase.jpg,Bien Hoa,grok,Bien Hoa,Bien Hoa,0.8,True,False,1.447,
dataset2_ai_lens5,11,images/02_bien_hoa/011_02_bien_hoa_01_vase.jpg,Bien Hoa,acis,Bien Hoa,Bien Hoa,0.85,True,False,18.339,
dataset2_ai_lens5,21,images/03_phu_lang/021_03_phu_lang_01_vase.jpg,Phu Lang,gemini,Phu Lang,Phu Lang,0.8,True,False,2.5,
dataset2_ai_lens5,21,images/03_phu_lang/021_03_phu_lang_01_vase.jpg,Phu Lang,chatgpt,Phu Lang,Phu Lang,0.85,True,False,3.632,
dataset2_ai_lens5,21,images/03_phu_lang/021_03_phu_lang_01_vase.jpg,Phu Lang,grok,Phu Lang,Phu Lang,0.8,True,False,1.669,
dataset2_ai_lens5,21,images/03_phu_lang/021_03_phu_lang_01_vase.jpg,Phu Lang,acis,Phu Lang,Phu Lang,0.85,True,False,15.083,
dataset2_ai_lens5,31,images/04_chu_dau/031_04_chu_dau_01_vase.jpg,Chu Dau,gemini,Jingdezhen,Jingdezhen,0.75,False,False,2.5,
dataset2_ai_lens5,31,images/04_chu_dau/031_04_chu_dau_01_vase.jpg,Chu Dau,chatgpt,Bat Trang,Bat Trang,0.85,False,False,5.014,
dataset2_ai_lens5,31,images/04_chu_dau/031_04_chu_dau_01_vase.jpg,Chu Dau,grok,Chu Dau,Chu Dau,0.8,True,False,1.242,
dataset2_ai_lens5,31,images/04_chu_dau/031_04_chu_dau_01_vase.jpg,Chu Dau,acis,Chu Dau,Chu Dau,0.8,True,False,16.759,
dataset2_ai_lens5,41,images/05_bau_truc/041_05_bau_truc_01_vase.jpg,Bau Truc,gemini,Bau Truc,Bau Truc,0.8,True,False,2.5,
dataset2_ai_lens5,41,images/05_bau_truc/041_05_bau_truc_01_vase.jpg,Bau Truc,chatgpt,Bau Truc,Bau Truc,0.85,True,False,3.632,
dataset2_ai_lens5,41,images/05_bau_truc/041_05_bau_truc_01_vase.jpg,Bau Truc,grok,Bau Truc,Bau Truc,0.8,True,False,1.261,
dataset2_ai_lens5,41,images/05_bau_truc/041_05_bau_truc_01_vase.jpg,Bau Truc,acis,Bau Truc,Bau Truc,0.85,True,False,17.742,
dataset2_ai_lens5,71,images/08_delft/071_08_delft_01_vase.jpg,Delftware,gemini,Delftware,Delftware,0.85,True,False,2.5,
dataset2_ai_lens5,71,images/08_delft/071_08_delft_01_vase.jpg,Delftware,chatgpt,Delftware,Delftware,0.85,True,False,4.415,
dataset2_ai_lens5,71,images/08_delft/071_08_delft_01_vase.jpg,Delftware,grok,Delft,Delftware,0.8,True,False,1.421,
dataset2_ai_lens5,71,images/08_delft/071_08_delft_01_vase.jpg,Delftware,acis,Delftware,Delftware,0.85,True,False,15.319,
dataset2_ai_lens5,91,images/10_meissen/091_10_meissen_01_vase.jpg,Meissen,gemini,Meissen,Meissen,0.85,True,False,2.5,
dataset2_ai_lens5,91,images/10_meissen/091_10_meissen_01_vase.jpg,Meissen,chatgpt,Meissen,Meissen,0.85,True,False,4.24,
dataset2_ai_lens5,91,images/10_meissen/091_10_meissen_01_vase.jpg,Meissen,grok,Meissen,Meissen,0.8,True,False,1.328,
dataset2_ai_lens5,91,images/10_meissen/091_10_meissen_01_vase.jpg,Meissen,acis,Meissen,Meissen,0.85,True,False,18.436,
dataset2_ai_lens5,61,images/07_arita/061_07_arita_01_vase.jpg,Arita Imari,gemini,Famille Rose Porcelain (Jingdezhen production),Jingdezhen,0.95,False,False,2.5,
dataset2_ai_lens5,61,images/07_arita/061_07_arita_01_vase.jpg,Arita Imari,chatgpt,Arita,Arita Imari,0.85,True,False,4.229,
dataset2_ai_lens5,61,images/07_arita/061_07_arita_01_vase.jpg,Arita Imari,grok,Kakiemon,Arita Imari,0.8,True,False,1.463,
dataset2_ai_lens5,61,images/07_arita/061_07_arita_01_vase.jpg,Arita Imari,acis,Jingdezhen,Jingdezhen,0.9,False,False,15.471,
